"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"11","349","Bl","3","2019","Live",13.7,,,,,,,,,,,,5
"11","350","Bl","3","1994","Live",7.8,,,,,,,,,,,,6
"11","350","Bl","3","1997","Live",8.2,,,,,,,,,,,,6
"11","350","Bl","3","2009","Live",11.4,,"Live",,,,,,,,,,6
"11","350","Bl","3","2019","Live",14.1,,,,,,,,,,,,6
"11","351","Bl","1","1992","Live",11.2,9.3,,,,,,,,,,,8
"11","351","Bl","1","1994","Live",12.1,11.8,,,,,,,,,,,8
"11","351","Bl","1","1997","Live",13.1,12,,,,,,,,,,,8
"11","351","Bl","1","2009","Live",17.1,,"Live",,,,,,,,,,8
"11","351","Bl","1","2019","Live",20,16.8,,,,,,,,,,,8
"11","352","Bl","3","1992","Live",12.9,,,,,,,,,,,,8
"11","352","Bl","3","1994","Live",13.7,,,,,,,,,,,,8
"11","352","Bl","3","1997","Live",14.8,,,,,,,,,,,,8
"11","352","Bl","3","2009","Live",18.7,,"Live - outside boundary",,,,,,,,,,8
"11","352","Bl","3","2019","Live",20.5,15.2,,,,,,,,,,,8
"11","353","Bl","3","1994","Live",7.5,6.9,,,,,,,,,,,8
"11","353","Bl","3","1997","Live",8.4,7.6,,,,,,,,,,,8
"11","353","Bl","3","2009","Live",11.9,,"Live",,,,,,,,,,8
"11","353","Bl","3","2019","Live",13.9,,,,,,,,,,,,8
"11","354","Sx","1","1992","Live",26.7,20.4,,,,,,,,,,,8
"11","354","Sx","1","1994","Live",28.1,21.6,,,,,,,,,,,8
"11","354","Sx","1","1997","Live",30.1,21.6,,,,,,,,,,,8
"11","354","Sx","1","2009","Live",35,,"Live",,,,,,,,,,8
"11","354","Sx","1","2019","Live",38.3,23.6,,,,,,,,,,,8
"11","355","Bl","2","1992","Live",12.3,,,,,1,,,,,,,7
"11","355","Bl","2","1994","Live",12.8,,,,,1,,,,,,,7
"11","355","Bl","2","1997","Live",13.7,,,,,1,,,,,,,7
"11","355","Bl","2","2009","Live",17,,"Live",,,1,,,,,,,7
"11","355","Bl","2","2019","Live",19.4,17.7,,,,1,,,,,,,7
"11","356","Sx","4","1992","Live",38.9,28.6,,,,,,,,,,,7
"11","356","Sx","4","1994","Live",39,28.1,,,,,,,,,,,7
"11","356","Sx","4","1997","Live",40.2,28.1,,,,,,,,,,,7
"11","356","Sx","4","2009","Live",42.7,,"Live",,,,,,,,,,7
"11","356","Sx","4","2019","Live",43.9,28.6,,,,,,,,,,,7
"11","357","Bl",,"2019","Live",29.9,21.5,"ADDED 2019",,,,,,,,,,
"11","432","Bl","4","1992","Live",9,,,,,,2,,,,,,7
"11","432","Bl","4","1994","Live",9.5,,,,,,2,,,,,,7
"11","432","Bl","4","1997","Live",11.9,,,,,,2,,,,,,7
"11","432","Bl","4","2009","Live",12.5,,"Live",,,,2,,,,,,7
"11","432","Bl","4","2019","Live",14.8,,,,,,2,,,,,,7
"11","433","Bl","3","1992","Live",10.4,6.6,,,,,,,,,,,8
"11","433","Bl","3","1994","Live",11.5,8.7,,,,,,,,,,,8
"11","433","Bl","3","1997","Live",13.1,9.6,,,,,,,,,,,8
"11","433","Bl","3","2009","Live",17.3,,"Live",,,,,,,,,,8
"11","433","Bl","3","2019","Live",20.4,15,,,,,,,,,,,8
"11","434","Bl","3","1992","Live",9.4,,,,,,,,,,,,7
"11","434","Bl","3","1994","Live",10,,,,,,,,,,,,7
"11","434","Bl","3","1997","Live",11.2,,,,,,,,,,,,7
"11","434","Bl","3","2009","Live",14.3,,"Live",,,,,,,,,,7
"11","434","Bl","3","2019","Live",15.6,,,,,,,,,,,,7
"11","601","Bl",,"2019","Live",8.4,5.7,,,,,,,,,,,
