"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown","heightVol","totalVol","merchVol"
"105","10","46","Sx","2","2019","Live",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51974748502203,0.0124280143415019,0.0106603995089959
"106","10","48","Bl","2","2009","Live",8.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21927680640495,0.0182993648983444,0.0164083023650111
"107","10","48","Bl","2","2019","Live",11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53784084525568,0.0474457636642317,0.0435580613943709
"108","10","49","Sx","2","2019","Live",7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08612630032194,0.0105967447653791,0.00902729656864925
"109","10","50","Bl","2","2009","Live",8.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94358366731828,0.0167327508690254,0.0149641091268675
"110","10","50","Bl","2","2019","Live",12,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,0.0631703801375827,0.0586844290462606
"111","10","51","Sx","2","2009","Live",7.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77096405034957,0.0096426053990176,0.00816603017880488
"112","10","51","Sx","2","2019","Live",11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23528851788603,0.0396289409138496,0.0353966645045415
"113","10","52","Bl","3","2019","Live",7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93782301328609,0.0115237613715576,0.0101961254529962
"114","10","54","Bl","3","2019","Live",9.8,8.1,"found; painted 628 on tree (not actually #628)",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8.1,0.0304659638129013,0.0277439752935887
"115","10","602","Bl","3","2009","Live",7.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5,5.07530370203563,0.0124270149040342,0.0110101633263596
"116","10","602","Bl","3","2019","Live",11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,9.33703843674401,0.0449485147470924,0.0412202144426621
"117","10","605","Bl","3","1992","Live",12.9,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5,11.103600341102,0.0694576834442933,0.0642715779924897
"118","10","605","Bl","3","1994","Live",12.9,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5,11.1809102605494,0.0699573057208003,0.0647648946993137
"119","10","605","Bl","3","1997","Live",13.2,NA,"broken top, no limbs on north side",NA,NA,1,NA,NA,NA,NA,3,3,5,11.2850307602221,0.0736364591929666,0.0681816618944073
"120","10","605","Bl","3","2009","Live",13.3,NA,"Live with snapped top",NA,NA,1,NA,NA,NA,NA,3,3,5,11.3276564384815,0.0749422517796102,0.0693977782485354
"121","10","605","Bl","3","2019","Live",13.3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,5,11.2866864594299,0.0746622719245817,0.0691212289052121
"122","10","607","Bl","3","1992","Live",10.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,8.38898766399381,0.0351828030691643,0.032076926209857
"123","10","607","Bl","3","1994","Live",10.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,9.09264136194551,0.0416330374018816,0.0381316679817883
"124","10","607","Bl","3","1997","Live",11.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,9.60824849152215,0.048570625072634,0.0446052048292887
"125","10","607","Bl","3","2009","Live",14,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,3,5,11.928630106708,0.0867571369493452,0.0805388308205246
"126","10","607","Bl","3","2019","Live",16.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,13.6636685844128,0.132987236006031,0.124204243063778
"127","10","610","Bl","3","1992","Live",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5.84678561756493,0.0168081134616199,0.0150107539693102
"128","10","610","Bl","3","1994","Live",8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6.43978216593207,0.0197773469637279,0.0177676526840288
"129","10","610","Bl","3","1997","Live",9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6.76144057313964,0.0221018993350319,0.0199088641421054
"130","10","610","Bl","3","2009","Live",9.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5,7.38540713059274,0.026175845372097,0.0237012038549593
"131","10","610","Bl","3","2019","Live",10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,8.27598157636222,0.0334932038536465,0.0305203622591255
"132","10","611","Bl","3","1992","Live",12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,11.0055344721562,0.0678598668492306,0.0627648956019511
"133","10","611","Bl","3","1994","Live",13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,11.4658859651951,0.0748558297969561,0.0693867826640924
"134","10","611","Bl","3","1997","Live",13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,11.7372044488462,0.0820335892972901,0.076103493407748
"135","10","611","Bl","3","2009","Live",15.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,6,12.8148296540968,0.107154296356805,0.0998084490723681
"136","10","611","Bl","3","2019","Live",15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,13.2408231230866,0.120326282522167,0.112223777436751
"137","10","613","Bl","3","1992","Live",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.9243202009117,0.0123267517849393,0.0108956821174109
"138","10","613","Bl","3","1994","Live",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5.25832697473674,0.0134956786015491,0.0119798772819939
"139","10","613","Bl","3","1997","Live",8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5.78795545464796,0.0162803553052907,0.0145329004825267
"140","10","613","Bl","3","2009","Live",10.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5,8.44590706118221,0.0354294240422057,0.0323168509466786
"141","10","613","Bl","3","2019","Live",12,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,9.6,0.0524202158595016,0.0480946493077256
"142","10","617","Bl","3","1992","Live",26.7,NA,"LS",NA,NA,1,NA,NA,NA,NA,NA,2,7,20.2703159620972,0.483625124359871,0.45941962407886
